,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-01-11,1.2559707082,7.8224182408,,50.4194058417,6.197387035,257.493550803,21.2590496796,0.7412415744,3.8622784389,8.1720063244,13399.5007073313,63.6876924357,3.2335857535,56.9734542731,6.2027128235,111.6668053591,32.0046600649,0.97661646,0.8321544479,3.9864358825,1.6275276691,3.7986186236,6.5013730548,8.0498460514,1.385786802,12.4610135641,1.0,19.3933594075,1.3319464093,1.2716152118,3.4229841059,1067.0966131314,3.4771573604
2018-01-12,1.2518744336,7.8241740133,,50.3781824174,6.1371838181,254.3791711296,21.0274367636,0.7331548159,3.8199719865,8.1033204251,13330.8972563236,63.6001483068,3.2099365576,56.6098706435,6.1344648595,111.1312515449,31.9700090632,0.9711625608,0.8239268353,3.9758589437,1.6114361045,3.7560352641,6.4609870643,7.9583093021,1.3781000247,12.3985334102,1.0,19.1114773008,1.3267693829,1.270248002,3.4005108346,1062.4866111889,3.4375875422
2018-01-13,1.2518744336,7.8241740133,,50.3781824174,6.1371838181,254.3791711296,21.0274367636,0.7331548159,3.8199719865,8.1033204251,13330.8972563236,63.6001483068,3.2099365576,56.6098706435,6.1344648595,111.1312515449,31.9700090632,0.9711625608,0.8239268353,3.9758589437,1.6114361045,3.7560352641,6.4609870643,7.9583093021,1.3781000247,12.3985334102,1.0,19.1114773008,1.3267693829,1.270248002,3.4005108346,1062.4866111889,3.4375875422
2018-01-14,1.2518744336,7.8241740133,,50.3781824174,6.1371838181,254.3791711296,21.0274367636,0.7331548159,3.8199719865,8.1033204251,13330.8972563236,63.6001483068,3.2099365576,56.6098706435,6.1344648595,111.1312515449,31.9700090632,0.9711625608,0.8239268353,3.9758589437,1.6114361045,3.7560352641,6.4609870643,7.9583093021,1.3781000247,12.3985334102,1.0,19.1114773008,1.3267693829,1.270248002,3.4005108346,1062.4866111889,3.4375875422
2018-01-15,1.2432190274,7.823572534,,50.2997474953,6.0679319052,251.6086991936,20.7957970188,0.7252830496,3.7694876599,8.0096929217,13307.03754989,63.5175531482,3.1959762157,56.4333306182,6.0552252179,110.621487334,31.9247373137,0.9610654069,0.8145312373,3.9560153132,1.5930601939,3.7828459721,6.4380548994,7.8771686894,1.3706931661,12.302191089,1.0,18.8315549401,1.3214140262,1.2571475116,3.399609025,1063.5660177568,3.3954549157
2018-01-16,1.2423548651,7.8233851186,,50.6451349141,6.0909239575,252.4529844644,20.8634505315,0.7265739984,3.8007358953,8.0317252657,13337.4979558463,64.0474243663,3.2136549469,56.4391659853,6.0699100572,110.7113654947,31.9803761243,0.9644317253,0.8176614881,3.9649223222,1.5991823385,3.7969746525,6.4415372036,7.87473426,1.3743254293,12.2624693377,1.0,18.772526574,1.3233851186,1.2574816026,3.4150449714,1064.9223221586,3.4107113655
2018-01-17,1.2443661395,7.8189789396,,50.8211095632,6.1025157748,253.0279439482,20.8530689175,0.7257887405,3.8163566336,8.0656395968,13359.0264689011,63.9277226911,3.2366631156,56.8597066295,6.0858805212,110.8006227977,31.9601737278,0.9648447103,0.819470622,3.9613209866,1.6027206425,3.8231582398,6.4351389003,7.8849463247,1.3767106449,12.3349995903,1.0,18.7975088093,1.3236908957,1.2549373105,3.4557895599,1068.3028763419,3.4182578055
2018-01-18,1.2447078055,7.8175725378,,50.7298733143,6.0870453617,252.1536575398,20.7315079689,0.7209480997,3.7989374745,8.0347364119,13343.179403351,63.8504290969,3.213812832,56.5693502248,6.0816510012,111.2137310993,31.9199019207,0.9601961586,0.8173273396,3.9555373927,1.5985288108,3.7902738047,6.4227217,7.8474049857,1.3697588884,12.2627707397,1.0,18.6492848386,1.3220269718,1.2514098897,3.4286881896,1067.9280751941,3.4053943604
2018-01-19,1.2440636475,7.8183598531,,50.7042023664,6.0753977968,252.3051815585,20.7531619747,0.7210526316,3.8020399837,8.0239086087,13313.4965320277,63.8425132599,3.2078335373,56.5747858017,6.0670746634,110.599755202,31.8800489596,0.9594451244,0.8159934721,3.9379844961,1.5959200326,3.7990208078,6.403998368,7.8533659731,1.3733986128,12.2034271726,1.0,18.6174622603,1.3201142391,1.2486332109,3.413871889,1066.4381884945,3.403998368
2018-01-20,1.2440636475,7.8183598531,,50.7042023664,6.0753977968,252.3051815585,20.7531619747,0.7210526316,3.8020399837,8.0239086087,13313.4965320277,63.8425132599,3.2078335373,56.5747858017,6.0670746634,110.599755202,31.8800489596,0.9594451244,0.8159934721,3.9379844961,1.5959200326,3.7990208078,6.403998368,7.8533659731,1.3733986128,12.2034271726,1.0,18.6174622603,1.3201142391,1.2486332109,3.413871889,1066.4381884945,3.403998368
