DateTime,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-01-01,0.1604673496,1.0,,6.3801749893,0.7943768673,33.1124626547,2.724605207,0.0946681605,0.4970657277,1.0503414426,1732.7272727273,8.1738689714,0.4239116517,7.4041826718,0.7938540333,14.4056764831,4.1742424242,0.1248612889,0.1067008109,0.5178830559,0.208685446,0.4851045668,0.8327358088,1.0499679898,0.1797908664,1.5797481861,0.1279662825,2.5246692275,0.1709773794,0.1637430644,0.4442488263,136.5354246692,0.4456892872
2018-01-02,0.160453104,1.0,,6.3778199675,0.7895060615,32.7301846568,2.703986933,0.094346807,0.4934611754,1.0424254638,1725.2346658464,8.1245293425,0.4189938801,7.3308655855,0.7916591538,14.3557163009,4.1486800378,0.1242853961,0.1060636594,0.5143557163,0.2074393051,0.4808926318,0.8308814951,1.036751058,0.1798309345,1.5803485252,0.1279658051,2.4981597955,0.1700306524,0.1634759182,0.4422112152,135.9301252612,0.4415748332
2018-01-03,0.160100016,1.0,,6.3827206469,0.7920625632,32.9084428366,2.7179869128,0.0943129223,0.4932170027,1.0453795818,1721.2267915093,8.1231579507,0.417470873,7.3518327393,0.7917220833,14.3608022557,4.1613023355,0.1248709901,0.1063999574,0.5136138746,0.2080970368,0.4820237272,0.8317071873,1.0367611853,0.1802628079,1.5837101665,0.1279246688,2.4880034048,0.170112252,0.1632068947,0.442496143,136.3398414641,0.4431771027
2018-01-04,0.1602366337,1.0,,6.3676939877,0.7892984744,32.709943492,2.7050666327,0.0944658249,0.490760472,1.0413154798,1716.5728401344,8.1102170202,0.414108966,7.3079948687,0.7883018988,14.4100590524,4.1212641667,0.1247097739,0.1060186805,0.5131834229,0.2073513353,0.4809749478,0.8309744177,1.0353254243,0.1797758765,1.5741123586,0.127911538,2.472525259,0.1700857691,0.1632475642,0.4408044697,136.0368096859,0.4405606268
2018-01-05,0.1599779165,1.0,,6.3771393383,0.7905359494,32.782307725,2.7173312949,0.0943676477,0.4921115216,1.0438484733,1716.1835902663,8.1038985858,0.4146706587,7.3016095469,0.7893786894,14.4869834798,4.1165541258,0.1248248184,0.1061706374,0.5115301312,0.2076485327,0.4791162356,0.8297341487,1.0342931159,0.1787595023,1.5807321527,0.1278825328,2.4766106086,0.1697987005,0.1630887162,0.4395676732,136.025820699,0.4411814669
2018-01-06,0.1599779165,1.0,,6.3771393383,0.7905359494,32.782307725,2.7173312949,0.0943676477,0.4921115216,1.0438484733,1716.1835902663,8.1038985858,0.4146706587,7.3016095469,0.7893786894,14.4869834798,4.1165541258,0.1248248184,0.1061706374,0.5115301312,0.2076485327,0.4791162356,0.8297341487,1.0342931159,0.1787595023,1.5807321527,0.1278825328,2.4766106086,0.1697987005,0.1630887162,0.4395676732,136.025820699,0.4411814669
2018-01-07,0.1599779165,1.0,,6.3771393383,0.7905359494,32.782307725,2.7173312949,0.0943676477,0.4921115216,1.0438484733,1716.1835902663,8.1038985858,0.4146706587,7.3016095469,0.7893786894,14.4869834798,4.1165541258,0.1248248184,0.1061706374,0.5115301312,0.2076485327,0.4791162356,0.8297341487,1.0342931159,0.1787595023,1.5807321527,0.1278825328,2.4766106086,0.1697987005,0.1630887162,0.4395676732,136.025820699,0.4411814669
2018-01-08,0.158879303,1.0,,6.4165670112,0.7951118989,32.9759972666,2.72529256,0.0944018536,0.4933586743,1.0481442727,1717.4372170496,8.1188071239,0.4145489878,7.3009097121,0.7946100624,14.450755958,4.1177287093,0.1250213547,0.1067737251,0.5117557871,0.2088280516,0.47927522,0.8308704194,1.0333881438,0.1783334757,1.590117024,0.1278401811,2.4645404459,0.1703681558,0.1632463483,0.4399824891,136.4429401213,0.444851371
2018-01-09,0.1588675889,1.0,,6.4286403137,0.7979704896,33.1493843961,2.7361957931,0.094585472,0.4985909154,1.0532023188,1718.6534937797,8.1460625998,0.4133064732,7.2922537852,0.7980347824,14.3919505374,4.1234208073,0.125660341,0.1071547207,0.5126388993,0.2095732027,0.480513914,0.8343602327,1.0363468813,0.1778875518,1.5788176548,0.1278570127,2.4571756159,0.170718901,0.1633252253,0.4403630402,136.6019094971,0.4478531552
2018-01-10,0.1591638329,1.0,,6.4624929378,0.7938364123,33.0373418329,2.7257512605,0.0945218476,0.4945687514,1.0458484794,1716.877911501,8.1296037694,0.415226684,7.2912513725,0.7940922513,14.2438358793,4.1047234274,0.1249880075,0.10659958,0.5117206238,0.2084874586,0.485539767,0.8314340841,1.0281316292,0.1775309405,1.590614973,0.1278342163,2.4656482853,0.1703567888,0.1629800979,0.4384334126,136.548731998,0.4457354838
